@relation hybrid_ratings

@attribute user_id numeric
@attribute item_id numeric
@attribute unknown {0, 1}
@attribute Action {0, 1}
@attribute Adventure {0, 1}
@attribute Animation {0, 1}
@attribute Childrens {0, 1}
@attribute Comedy {0, 1}
@attribute Crime {0, 1}
@attribute Documentary {0, 1}
@attribute Drama {0, 1}
@attribute Fantasy {0, 1}
@attribute FilmNoir {0, 1}
@attribute Horror {0, 1}
@attribute Musical {0, 1}
@attribute Mystery {0, 1}
@attribute Romance {0, 1}
@attribute SciFi {0, 1}
@attribute Thriller {0, 1}
@attribute War {0, 1}
@attribute Western {0, 1}
@attribute rating numeric

@data
196,242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
186,302,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3
22,377,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2
166,346,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
298,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
115,265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
253,465,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
305,451,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
6,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
62,257,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
286,1014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
200,222,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
210,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
224,29,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
303,785,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
122,387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
194,274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
291,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
234,1184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
119,392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
167,486,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
299,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
291,118,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
308,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
95,546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
38,95,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
102,768,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
160,234,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
50,246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
301,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
225,193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
290,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
97,194,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
157,274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
181,1081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
278,603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
276,796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
10,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
284,304,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
201,979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
276,564,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
287,327,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5
246,201,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
242,1137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
249,241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
99,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
178,332,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3
251,100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4
81,432,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
260,322,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
25,181,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5
59,196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
72,679,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87,384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
290,143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
42,423,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5
292,515,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
115,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
20,288,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
201,219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
13,526,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
246,919,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
138,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
167,232,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
60,427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
57,304,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
223,274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
189,512,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4
